
Title of Crime ,Categorization of Crime,Kathmandu,Lalitpur,Bhaktapur,Kathmandu,Lalitpur,Bhaktapur,Kathmandu,Lalitpur,Bhaktapur
Related to Murder,Murder related to robbery,1,0,0,0,0,0,0,0,0
Related to Murder,Murder,41,13,6,50,5,5,22,8,6
Related to Murder,Jyan Marne Udhyog,85,10,6,85,16,4,90,8,6
Related to Murder,Abortion,0,0,1,0,0,0,1,0,0
Related to Murder,Bhabitabya Jyan,417,69,58,446,105,28,502,96,33
Related to Murder,Futkar Jyan,0,0,15,30,0,14,24,0,30
Related to Murder,Use the Poison,0,0,0,0,0,0,0,0,0
Related to Murder,Gaubadha,1,0,0,1,0,0,0,1,0
Suicide,Consuming poison,72,13,19,92,19,15,80,19,31
Suicide,Jump,4,2,1,5,0,1,4,0,0
Suicide,Self-Immolation,3,1,0,4,1,2,4,0,1
Suicide,Drowning,1,0,0,0,0,0,0,1,0
Suicide,Hanging,200,47,41,189,51,33,171,47,36
Suicide,Tools,1,1,0,1,0,0,2,1,0
Suicide,Use of Syringe,1,0,0,0,0,0,0,0,0
Suicide,Gunshot,0,0,0,1,0,0,3,0,0
Suicide,Self – Mutilation,0,1,0,0,0,1,0,0,0
Theft crime,Robbery,15,3,3,3,0,2,2,0,4
Theft crime,Danka Udhyog,0,0,0,0,0,0,0,0,0
Theft crime,Robbery/Steal,0,1,0,13,3,0,7,1,0
Theft crime,Robbery/Steal Udhyog,0,0,0,0,0,0,1,0,0
Theft crime,Forcible theft,32,6,6,17,6,0,23,12,3
Theft crime,Nakavajani theft,15,12,0,21,19,0,21,28,0
Theft crime,Common theft,154,14,13,214,22,16,286,24,27
Theft crime,Mo. Sa. Chori,32,0,0,30,0,0,21,2,3
Theft crime,Rahajani theft,0,0,0,1,1,0,0,0,0
Theft crime,Puratatki theft,0,0,0,1,1,0,0,0,0
Theft crime,Statue stolen,0,0,0,0,0,0,1,0,1
Theft crime,Theft Udhyog,0,0,0,0,0,0,1,0,0
Organized and Economic Crime,Swindle,185,15,6,208,12,18,152,14,10
Organized and Economic Crime,Gambling,67,11,0,48,3,1,32,2,12
Organized and Economic Crime,Khota ,5,0,0,2,0,0,7,1,1
Organized and Economic Crime,Drug,115,24,3,165,23,21,155,21,11
Organized and Economic Crime,Black Market,8,1,0,13,2,1,31,2,4
Organized and Economic Crime,Chandan Collection,0,0,0,0,0,0,1,0,0
Organized and Economic Crime,Sa. cha. Da. Ki,44,7,4,44,9,7,67,8,1
Organized and Economic Crime,Sa. va. Sa. Sa. Hinamina,0,0,0,0,0,0,0,0,0
Organized and Economic Crime,Ha. ha. Kha. Kha,28,5,4,20,8,4,13,2,4
Organized and Economic Crime,Explosion substance related,3,1,0,5,0,0,0,0,0
Organized and Economic Crime,Person with kidnapping,19,0,1,21,2,3,10,1,1
Organized and Economic Crime,Postal-related,0,0,0,0,0,0,1,0,0
Organized and Economic Crime,Passports,10,4,0,3,0,0,9,0,0
Social Crime,Ke. sa. A,2217,331,157,3467,447,150,2639,366,184
Social Crime,Forgery,6,2,0,5,0,0,6,0,0
Social Crime,Crime Against Country,0,0,0,0,0,0,0,0,0
Social Crime,Required items Protection Act,0,0,0,0,0,0,0,0,0
Social Crime,Discrimination related,0,0,0,0,0,0,1,0,0
Social Crime,Change of Religion,0,0,0,0,0,0,0,0,0
Social Crime,Disability due to beating,2,0,0,4,1,0,2,1,0
Women and children related,Human trafficking,19,3,0,28,2,3,26,1,1
Women and children related,Polygamy,39,1,7,44,11,8,54,10,11
Women and children related,Child Marriage,0,0,0,0,0,0,0,0,0
Women and children related,Ja ja ka,67,15,13,84,12,15,92,14,21
Women and children related,Jajakaudyoga,18,3,4,36,9,3,40,0,7
Women and children related,Unnatural Buggery,0,0,0,1,1,0,4,1,0
Women and children related,Witchcraft,0,0,0,3,0,0,0,0,0
Women and children related,Domestic Violence,0,0,0,2,0,0,0,0,0
Women and children related,Incest,0,0,0,0,0,0,0,0,0
Vehicle related,Death,108,27,21,97,17,32,82,27,22
Vehicle related,Disability,19,1,0,16,1,0,19,3,9
Vehicle related,Animal death,0,1,0,0,0,0,0,0,0
Miscellaneous,Inhuman brutal torture,0,0,0,0,0,0,0,0,0
Miscellaneous,A. Pat.,3,0,0,2,0,1,0,1,0
Miscellaneous,Education Act,8,1,0,2,0,0,4,0,0
Miscellaneous,Remote Communication Act,6,0,1,7,3,0,2,0,1
Miscellaneous,Letter Act,0,0,0,1,0,0,0,0,0
Miscellaneous,Bomb blast,0,0,0,0,0,0,0,0,0
Miscellaneous,Death due to Bicycle,0,0,0,0,0,0,0,0,0
Miscellaneous,Shot to death,0,0,0,0,0,0,0,0,0
Miscellaneous,Bidhutiya business,14,1,1,35,0,0,28,1,0
Miscellaneous,Abduction and sabau,16,0,0,8,0,0,1,0,0
Miscellaneous,Human Organ Transplant,1,0,0,1,0,0,0,0,0
Miscellaneous,Ancient Monument Preservation Act,5,0,0,4,0,0,2,0,0
Miscellaneous,Fire-related,2,0,0,0,1,1,5,0,0
Miscellaneous,Banking ,0,0,0,1,0,0,0,3,0
Miscellaneous,Banking crime,17,2,5,9,1,8,17,2,0
Miscellaneous,Ride compensation,0,0,0,0,0,0,0,0,0
Miscellaneous,Hanging,0,0,0,0,0,0,0,0,0
Miscellaneous,Contributions Act,2,0,0,5,1,0,2,0,1
Miscellaneous,Fake citizenship,0,0,0,0,3,0,0,2,0
